id,date,month,day_of_week,mood,activity,circumplex.arousal,circumplex.valence,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,screen_activations,max_screen_duration_day_part,is_weekend,count_NaN,next_day_mood,3_day_valence,3_day_arousal_,3_day_screen,current_morning_mood,current_afternoon_mood,current_evening_mood,current_night_mood,mood_2_day_avg,mood_3_day_avg,mood_5_day_avg,mood_7_day_avg,evening_screentime,temp,sun_hours,sun_percentage,rain,clouds,rain_weather_interaction,sun_weather_interaction,SP500 Change,Stock_App_SP500_interaction,Circumplexity_Interaction
AS14.01,2014-02-26,2,3,6.25,,-0.25,0.75,,1.0,2.0,,,,,,,,,,,,,,,no,6,6.333333333333333,0.75,-0.25,,,6.0,6.5,,6.25,6.25,6.25,6.25,,71.0,15.0,14.0,29.0,6.0,,,2.169997756573672e-05,,-0.1875
AS14.01,2014-02-27,2,4,6.333333333333333,,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,no,5,,0.75,-0.25,,6.0,6.5,,,6.25,6.25,6.25,6.25,,84.0,22.0,20.0,13.0,6.0,,,0.0049480829378962,,0.0
AS14.01,2014-02-28,2,5,,,,,,4.0,,,,,,,,,,,,,,,,no,6,,0.5416666666666666,-0.125,,,,,,6.291666666666666,6.291666666666666,6.291666666666666,6.291666666666666,,83.0,12.0,11.0,27.0,8.0,,,0.0027826887923012,,
AS14.01,2014-03-01,3,6,,,,,,,1.0,,,,,,,,,,,,,,,yes,7,,0.5416666666666666,-0.125,,,,,,6.333333333333333,6.291666666666666,6.291666666666666,6.291666666666666,,100.0,91.0,83.0,4.0,5.0,,,,,
AS14.01,2014-03-03,3,1,,,,,,1.0,,,,,,,,,,,,,,,,no,8,,0.3333333333333333,0.0,,,,,,,6.333333333333333,6.291666666666666,6.291666666666666,,106.0,55.0,50.0,0.0,7.0,,,-0.0073785103462872,,
AS14.01,2014-03-05,3,3,,,,,,1.0,,,,,,,,,,,,,,,,no,9,,,,,,,,,,,6.291666666666666,6.291666666666666,,127.0,32.0,29.0,0.0,6.0,,,-5.335132643191631e-05,,
AS14.01,2014-03-06,3,4,,,,,,1.0,,,,,,,,,,,,,,,,no,10,,,,,,,,,,,6.333333333333333,6.291666666666666,,123.0,25.0,22.0,-1.0,3.0,,,0.0017184082710823,,
AS14.01,2014-03-07,3,5,,,,,,5.0,,,,,,,,,,,,,,,,no,11,,,,,,,,,,,,6.291666666666666,,158.0,94.0,83.0,0.0,1.0,,,0.0005380892952486,,
AS14.01,2014-03-10,3,1,,,,,,1.0,,,,,,,,,,,,,,,,no,12,,,,,,,,,,,,6.333333333333333,,131.0,58.0,50.0,0.0,4.0,,,-0.0004632463094992,,
AS14.01,2014-03-11,3,2,,,,,,3.0,,,,,,,,,,,,,,,,no,13,,,,,,,,,,,,,,150.0,103.0,89.0,0.0,0.0,,,-0.0050821389853683,,
AS14.01,2014-03-12,3,3,,,,,,7.0,1.0,,,,,,,,,,,,,,,no,14,,,,,,,,,,,,,,161.0,107.0,92.0,0.0,0.0,,,0.0003051708783712,,
AS14.01,2014-03-13,3,4,,,,,,4.0,,,,,,,,,,,,,,,,no,15,,,,,,,,,,,,,,103.0,47.0,40.0,0.0,4.0,,,-0.0117010951305561,,
AS14.01,2014-03-14,3,5,,,,,,3.0,1.0,,,,,,,,,,,,,,,no,16,,,,,,,,,,,,,,114.0,39.0,33.0,0.0,7.0,,,-0.0028217776974703,,
AS14.01,2014-03-15,3,6,,,,,,,1.0,,,,,,,,,,,,,,,yes,17,,,,,,,,,,,,,,127.0,70.0,59.0,0.0,6.0,,,,,
AS14.01,2014-03-16,3,7,,,,,,,3.0,,,,,,,,,,,,,,,yes,18,,,,,,,,,,,,,,118.0,0.0,0.0,0.0,8.0,,,,,
AS14.01,2014-03-17,3,1,,,,,,,1.0,,,,,,,,,,,,,,,no,19,,,,,,,,,,,,,,110.0,5.0,4.0,21.0,7.0,,,0.0096136346292403,,
AS14.01,2014-03-18,3,2,,,,,,1.0,2.0,,,,,,,,,,,,,,,no,20,,,,,,,,,,,,,,135.0,62.0,51.0,-1.0,4.0,,,0.0072196189337276,,
AS14.01,2014-03-19,3,3,,,,,,1.0,,,,,,,,,,,,,,,,no,21,,,,,,,,,,,,,,200.0,113.0,93.0,0.0,2.0,,,-0.0061316493356923,,
AS14.01,2014-03-20,3,4,,0.081547619047619,,,2275.9440002441406,1.0,,248.979,2168.229,350.856,,,,11.345,807.731,,45.173,21.074,,9.0,evening,no,22,6.2,,,2275.9440002441406,,,,,,,,,2275.9440002441406,118.0,45.0,37.0,211.0,5.0,,,0.006040504799839,,
AS14.01,2014-03-21,3,5,6.2,0.1340501039893886,0.2,0.2,17978.907000064843,6.0,,3139.218,6280.889999999999,1007.456,49.544,,172.20600000000002,239.751,4508.500000000001,915.4450000000002,,598.754,,117.0,afternoon,no,21,6.4,0.2,0.2,2275.9440002441406,6.0,7.0,6.0,,6.2,6.2,6.2,6.2,3456.6960000991835,106.0,34.0,28.0,1.0,4.0,,,-0.0029326714097337,-0.1452962723238486,0.04
AS14.01,2014-03-22,3,6,6.4,0.2368802192399581,0.6,0.5,6142.160999536513,3.0,1.0,731.4290000000002,4962.918,93.324,21.076,,,98.143,439.6319999999999,37.305,,117.621,,129.0,afternoon,yes,20,6.8,0.2,0.2,10127.425500154492,7.0,7.0,5.5,,6.2,6.2,6.2,6.2,2340.9920001029955,97.0,64.0,52.0,39.0,4.0,,,,,0.3
AS14.01,2014-03-23,3,7,6.8,0.1427411158050636,0.2,0.8,6773.832001447676,,,1286.246,5237.319,94.346,43.403000000000006,,,72.82300000000001,900.839,,,30.086,30.386,101.0,evening,yes,19,6.0,0.35,0.4,8799.0039999485,7.0,7.5,6.0,,6.300000000000001,6.300000000000001,6.300000000000001,6.300000000000001,3725.025000572203,99.0,103.0,83.0,16.0,2.0,486.176,259769.914,,,0.16
AS14.01,2014-03-24,3,1,6.0,0.0789610561155979,0.8,0.0,15047.351000547404,10.0,,866.9559999999999,9270.629,976.971,34.106,,3.01,66.55799999999999,3223.626,419.805,,178.732,,196.0,morning,no,18,6.75,0.5,0.3333333333333333,10298.300000349676,6.0,6.0,6.0,,6.6,6.466666666666666,6.466666666666666,6.466666666666666,5557.151000261307,108.0,90.0,72.0,0.0,1.0,,,-0.0048647097432581,-0.1659157905035622,0.0
AS14.01,2014-03-25,3,2,6.75,0.0983741123905067,0.5,0.5,21475.35499906539,,1.0,1032.768,10276.751,68.206,43.054,,,178.819,1919.471,,235.223,222.893,,127.0,evening,no,17,6.6,0.4333333333333333,0.5333333333333333,9321.114667177198,6.0,7.0,7.0,,6.4,6.400000000000001,6.35,6.35,13027.859999895089,88.0,44.0,35.0,2.0,4.0,,,0.0044039398144655,0.1896072247719984,0.25
AS14.01,2014-03-26,3,3,6.6,0.1013083216700759,-0.2,0.6,16423.80100035667,,,1167.497,8988.752999999999,910.479,52.331,,,97.498,4592.059,,,33.365,,174.0,evening,no,16,7.0,0.4333333333333333,0.5,14432.179333686823,7.0,6.5,6.5,,6.375,6.516666666666666,6.43,6.43,7391.634999990461,138.0,84.0,67.0,1.0,4.0,,,-0.0070003197637347,-0.3663337335560016,-0.12
AS14.01,2014-03-27,3,4,7.0,0.1595106409690974,0.2,0.8,17442.14999938011,2.0,1.0,1229.327,6936.512,639.3389999999999,42.219,,182.451,58.532,935.381,47.314,,179.02899999999997,,135.0,morning,no,15,6.4,0.3666666666666667,0.3666666666666667,17648.835666656487,7.0,7.0,7.0,,6.675,6.45,6.51,6.458333333333333,4170.146000385285,168.0,115.0,91.0,0.0,2.0,,,-0.0019000838946738,-0.0802196419492368,0.16
AS14.01,2014-03-28,3,5,6.4,0.0956980216371201,-0.6,0.6,4923.488999605181,5.0,,10062.595,866.8330000000001,1005.403,89.16600000000001,233.036,,225.951,512.741,1133.0089999999998,,301.717,,88.0,evening,no,14,8.0,0.6333333333333333,0.1666666666666666,18447.101999600724,5.0,7.0,6.5,,6.8,6.783333333333334,6.63,6.535714285714286,1961.8809995651247,189.0,104.0,82.0,0.0,1.0,,,0.0046402218845611,0.4137500245587792,-0.36
